Web Search Interest
France; 2004 - present

Interest over time
Week,Biological Sciences
2005-04-03 - 2005-04-09,-10%
2005-04-10 - 2005-04-16,-11%
2005-04-17 - 2005-04-23,-13%
2005-04-24 - 2005-04-30,-9%
2005-05-01 - 2005-05-07,-12%
2005-05-08 - 2005-05-14,-7%
2005-05-15 - 2005-05-21,-8%
2005-05-22 - 2005-05-28,-11%
2005-05-29 - 2005-06-04,-16%
2005-06-05 - 2005-06-11,-14%
2005-06-12 - 2005-06-18,-21%
2005-06-19 - 2005-06-25,-20%
2005-06-26 - 2005-07-02,-22%
2005-07-03 - 2005-07-09,-28%
2005-07-10 - 2005-07-16,-27%
2005-07-17 - 2005-07-23,-29%
2005-07-24 - 2005-07-30,-29%
2005-07-31 - 2005-08-06,-30%
2005-08-07 - 2005-08-13,-33%
2005-08-14 - 2005-08-20,-28%
2005-08-21 - 2005-08-27,-33%
2005-08-28 - 2005-09-03,-27%
2005-09-04 - 2005-09-10,-23%
2005-09-11 - 2005-09-17,-18%
2005-09-18 - 2005-09-24,-14%
2005-09-25 - 2005-10-01,-17%
2005-10-02 - 2005-10-08,-18%
2005-10-09 - 2005-10-15,-15%
2005-10-16 - 2005-10-22,-11%
2005-10-23 - 2005-10-29,-17%
2005-10-30 - 2005-11-05,-22%
2005-11-06 - 2005-11-12,-17%
2005-11-13 - 2005-11-19,-17%
2005-11-20 - 2005-11-26,-22%
2005-11-27 - 2005-12-03,-25%
2005-12-04 - 2005-12-10,-26%
2005-12-11 - 2005-12-17,-29%
2005-12-18 - 2005-12-24,-36%
2005-12-25 - 2005-12-31,-43%
2006-01-01 - 2006-01-07,-32%
2006-01-08 - 2006-01-14,-26%
2006-01-15 - 2006-01-21,-26%
2006-01-22 - 2006-01-28,-27%
2006-01-29 - 2006-02-04,-25%
2006-02-05 - 2006-02-11,-25%
2006-02-12 - 2006-02-18,-24%
2006-02-19 - 2006-02-25,-29%
2006-02-26 - 2006-03-04,-29%
2006-03-05 - 2006-03-11,-27%
2006-03-12 - 2006-03-18,-24%
2006-03-19 - 2006-03-25,-23%
2006-03-26 - 2006-04-01,-22%
2006-04-02 - 2006-04-08,-23%
2006-04-09 - 2006-04-15,-27%
2006-04-16 - 2006-04-22,-26%
2006-04-23 - 2006-04-29,-26%
2006-04-30 - 2006-05-06,-23%
2006-05-07 - 2006-05-13,-22%
2006-05-14 - 2006-05-20,-20%
2006-05-21 - 2006-05-27,-28%
2006-05-28 - 2006-06-03,-28%
2006-06-04 - 2006-06-10,-26%
2006-06-11 - 2006-06-17,-26%
2006-06-18 - 2006-06-24,-34%
2006-06-25 - 2006-07-01,-39%
2006-07-02 - 2006-07-08,-38%
2006-07-09 - 2006-07-15,-38%
2006-07-16 - 2006-07-22,-33%
2006-07-23 - 2006-07-29,-36%
2006-07-30 - 2006-08-05,-36%
2006-08-06 - 2006-08-12,-40%
2006-08-13 - 2006-08-19,-41%
2006-08-20 - 2006-08-26,-39%
2006-08-27 - 2006-09-02,-42%
2006-09-03 - 2006-09-09,-34%
2006-09-10 - 2006-09-16,-30%
2006-09-17 - 2006-09-23,-27%
2006-09-24 - 2006-09-30,-28%
2006-10-01 - 2006-10-07,-23%
2006-10-08 - 2006-10-14,-22%
2006-10-15 - 2006-10-21,-25%
2006-10-22 - 2006-10-28,-28%
2006-10-29 - 2006-11-04,-32%
2006-11-05 - 2006-11-11,-26%
2006-11-12 - 2006-11-18,-27%
2006-11-19 - 2006-11-25,-30%
2006-11-26 - 2006-12-02,-32%
2006-12-03 - 2006-12-09,-35%
2006-12-10 - 2006-12-16,-37%
2006-12-17 - 2006-12-23,-43%
2006-12-24 - 2006-12-30,-51%
2006-12-31 - 2007-01-06,-46%
2007-01-07 - 2007-01-13,-35%
2007-01-14 - 2007-01-20,-33%
2007-01-21 - 2007-01-27,-36%
2007-01-28 - 2007-02-03,-36%
2007-02-04 - 2007-02-10,-36%
2007-02-11 - 2007-02-17,-35%
2007-02-18 - 2007-02-24,-36%
2007-02-25 - 2007-03-03,-36%
2007-03-04 - 2007-03-10,-34%
2007-03-11 - 2007-03-17,-32%
2007-03-18 - 2007-03-24,-34%
2007-03-25 - 2007-03-31,-32%
2007-04-01 - 2007-04-07,-34%
2007-04-08 - 2007-04-14,-35%
2007-04-15 - 2007-04-21,-30%
2007-04-22 - 2007-04-28,-30%
2007-04-29 - 2007-05-05,-32%
2007-05-06 - 2007-05-12,-32%
2007-05-13 - 2007-05-19,-30%
2007-05-20 - 2007-05-26,-27%
2007-05-27 - 2007-06-02,-35%
2007-06-03 - 2007-06-09,-28%
2007-06-10 - 2007-06-16,-32%
2007-06-17 - 2007-06-23,-37%
2007-06-24 - 2007-06-30,-43%
2007-07-01 - 2007-07-07,-43%
2007-07-08 - 2007-07-14,-45%
2007-07-15 - 2007-07-21,-42%
2007-07-22 - 2007-07-28,-46%
2007-07-29 - 2007-08-04,-45%
2007-08-05 - 2007-08-11,-45%
2007-08-12 - 2007-08-18,-45%
2007-08-19 - 2007-08-25,-47%
2007-08-26 - 2007-09-01,-47%
2007-09-02 - 2007-09-08,-42%
2007-09-09 - 2007-09-15,-38%
2007-09-16 - 2007-09-22,-36%
2007-09-23 - 2007-09-29,-35%
2007-09-30 - 2007-10-06,-29%
2007-10-07 - 2007-10-13,-32%
2007-10-14 - 2007-10-20,-32%
2007-10-21 - 2007-10-27,-36%
2007-10-28 - 2007-11-03,-39%
2007-11-04 - 2007-11-10,-36%
2007-11-11 - 2007-11-17,-37%
2007-11-18 - 2007-11-24,-39%
2007-11-25 - 2007-12-01,-39%
2007-12-02 - 2007-12-08,-38%
2007-12-09 - 2007-12-15,-38%
2007-12-16 - 2007-12-22,-45%
2007-12-23 - 2007-12-29,-55%
2007-12-30 - 2008-01-05,-49%
2008-01-06 - 2008-01-12,-39%
2008-01-13 - 2008-01-19,-40%
2008-01-20 - 2008-01-26,-40%
2008-01-27 - 2008-02-02,-39%
2008-02-03 - 2008-02-09,-41%
2008-02-10 - 2008-02-16,-42%
2008-02-17 - 2008-02-23,-41%
2008-02-24 - 2008-03-01,-41%
2008-03-02 - 2008-03-08,-37%
2008-03-09 - 2008-03-15,-36%
2008-03-16 - 2008-03-22,-38%
2008-03-23 - 2008-03-29,-39%
2008-03-30 - 2008-04-05,-37%
2008-04-06 - 2008-04-12,-38%
2008-04-13 - 2008-04-19,-37%
2008-04-20 - 2008-04-26,-37%
2008-04-27 - 2008-05-03,-35%
2008-05-04 - 2008-05-10,-35%
2008-05-11 - 2008-05-17,-33%
2008-05-18 - 2008-05-24,-34%
2008-05-25 - 2008-05-31,-35%
2008-06-01 - 2008-06-07,-38%
2008-06-08 - 2008-06-14,-38%
2008-06-15 - 2008-06-21,-41%
2008-06-22 - 2008-06-28,-41%
2008-06-29 - 2008-07-05,-47%
2008-07-06 - 2008-07-12,-49%
2008-07-13 - 2008-07-19,-47%
2008-07-20 - 2008-07-26,-45%
2008-07-27 - 2008-08-02,-47%
2008-08-03 - 2008-08-09,-46%
2008-08-10 - 2008-08-16,-49%
2008-08-17 - 2008-08-23,-47%
2008-08-24 - 2008-08-30,-46%
2008-08-31 - 2008-09-06,-47%
2008-09-07 - 2008-09-13,-40%
2008-09-14 - 2008-09-20,-39%
2008-09-21 - 2008-09-27,-39%
2008-09-28 - 2008-10-04,-39%
2008-10-05 - 2008-10-11,-36%
2008-10-12 - 2008-10-18,-37%
2008-10-19 - 2008-10-25,-40%
2008-10-26 - 2008-11-01,-43%
2008-11-02 - 2008-11-08,-43%
2008-11-09 - 2008-11-15,-43%
2008-11-16 - 2008-11-22,-40%
2008-11-23 - 2008-11-29,-43%
2008-11-30 - 2008-12-06,-45%
2008-12-07 - 2008-12-13,-46%
2008-12-14 - 2008-12-20,-50%
2008-12-21 - 2008-12-27,-61%
2008-12-28 - 2009-01-03,-55%
2009-01-04 - 2009-01-10,-47%
2009-01-11 - 2009-01-17,-43%
2009-01-18 - 2009-01-24,-45%
2009-01-25 - 2009-01-31,-46%
2009-02-01 - 2009-02-07,-47%
2009-02-08 - 2009-02-14,-46%
2009-02-15 - 2009-02-21,-46%
2009-02-22 - 2009-02-28,-46%
2009-03-01 - 2009-03-07,-43%
2009-03-08 - 2009-03-14,-40%
2009-03-15 - 2009-03-21,-39%
2009-03-22 - 2009-03-28,-38%
2009-03-29 - 2009-04-04,-37%
2009-04-05 - 2009-04-11,-37%
2009-04-12 - 2009-04-18,-35%
2009-04-19 - 2009-04-25,-33%
2009-04-26 - 2009-05-02,-35%
2009-05-03 - 2009-05-09,-32%
2009-05-10 - 2009-05-16,-29%
2009-05-17 - 2009-05-23,-32%
2009-05-24 - 2009-05-30,-33%
2009-05-31 - 2009-06-06,-25%
2009-06-07 - 2009-06-13,-37%
2009-06-14 - 2009-06-20,-38%
2009-06-21 - 2009-06-27,-45%
2009-06-28 - 2009-07-04,-43%
2009-07-05 - 2009-07-11,-47%
2009-07-12 - 2009-07-18,-45%
2009-07-19 - 2009-07-25,-45%
2009-07-26 - 2009-08-01,-43%
2009-08-02 - 2009-08-08,-46%
2009-08-09 - 2009-08-15,-43%
2009-08-16 - 2009-08-22,-45%
2009-08-23 - 2009-08-29,-46%
2009-08-30 - 2009-09-05,-48%
2009-09-06 - 2009-09-12,-42%
2009-09-13 - 2009-09-19,-40%
2009-09-20 - 2009-09-26,-37%
2009-09-27 - 2009-10-03,-38%
2009-10-04 - 2009-10-10,-39%
2009-10-11 - 2009-10-17,-38%
2009-10-18 - 2009-10-24,-41%
2009-10-25 - 2009-10-31,-43%
2009-11-01 - 2009-11-07,-45%
2009-11-08 - 2009-11-14,-43%
2009-11-15 - 2009-11-21,-43%
2009-11-22 - 2009-11-28,-43%
2009-11-29 - 2009-12-05,-46%
2009-12-06 - 2009-12-12,-47%
2009-12-13 - 2009-12-19,-50%
2009-12-20 - 2009-12-26,-60%
2009-12-27 - 2010-01-02,-58%
2010-01-03 - 2010-01-09,-51%
2010-01-10 - 2010-01-16,-49%
2010-01-17 - 2010-01-23,-49%
2010-01-24 - 2010-01-30,-47%
2010-01-31 - 2010-02-06,-47%
2010-02-07 - 2010-02-13,-48%
2010-02-14 - 2010-02-20,-48%
2010-02-21 - 2010-02-27,-47%
2010-02-28 - 2010-03-06,-46%
2010-03-07 - 2010-03-13,-46%
2010-03-14 - 2010-03-20,-40%
2010-03-21 - 2010-03-27,-39%
2010-03-28 - 2010-04-03,-37%
2010-04-04 - 2010-04-10,-36%
2010-04-11 - 2010-04-17,-38%
2010-04-18 - 2010-04-24,-34%
2010-04-25 - 2010-05-01,-34%
2010-05-02 - 2010-05-08,-37%
2010-05-09 - 2010-05-15,-36%
2010-05-16 - 2010-05-22,-34%
2010-05-23 - 2010-05-29,-36%
2010-05-30 - 2010-06-05,-32%
2010-06-06 - 2010-06-12,-36%
2010-06-13 - 2010-06-19,-43%
2010-06-20 - 2010-06-26,-43%
2010-06-27 - 2010-07-03,-45%
2010-07-04 - 2010-07-10,-45%
2010-07-11 - 2010-07-17,-43%
2010-07-18 - 2010-07-24,-45%
2010-07-25 - 2010-07-31,-45%
2010-08-01 - 2010-08-07,-48%
2010-08-08 - 2010-08-14,-48%
2010-08-15 - 2010-08-21,-50%
2010-08-22 - 2010-08-28,-48%
2010-08-29 - 2010-09-04,-49%
2010-09-05 - 2010-09-11,-46%
2010-09-12 - 2010-09-18,-40%
2010-09-19 - 2010-09-25,-40%
2010-09-26 - 2010-10-02,-42%
2010-10-03 - 2010-10-09,-38%
2010-10-10 - 2010-10-16,-41%
2010-10-17 - 2010-10-23,-42%
2010-10-24 - 2010-10-30,-47%
2010-10-31 - 2010-11-06,-43%
2010-11-07 - 2010-11-13,-46%
2010-11-14 - 2010-11-20,-42%
2010-11-21 - 2010-11-27,-45%
2010-11-28 - 2010-12-04,-48%
2010-12-05 - 2010-12-11,-47%
2010-12-12 - 2010-12-18,-51%
2010-12-19 - 2010-12-25,-60%
2010-12-26 - 2011-01-01,-58%
2011-01-02 - 2011-01-08,-49%
2011-01-09 - 2011-01-15,-49%
2011-01-16 - 2011-01-22,-48%
2011-01-23 - 2011-01-29,-47%
2011-01-30 - 2011-02-05,-50%
2011-02-06 - 2011-02-12,-47%
2011-02-13 - 2011-02-19,-49%
2011-02-20 - 2011-02-26,-48%
2011-02-27 - 2011-03-05,-49%
2011-03-06 - 2011-03-12,-47%
2011-03-13 - 2011-03-19,-45%
2011-03-20 - 2011-03-26,-41%
2011-03-27 - 2011-04-02,-42%
2011-04-03 - 2011-04-09,-40%
2011-04-10 - 2011-04-16,-39%
2011-04-17 - 2011-04-23,-38%
2011-04-24 - 2011-04-30,-40%
2011-05-01 - 2011-05-07,-37%
2011-05-08 - 2011-05-14,-36%
2011-05-15 - 2011-05-21,-38%
2011-05-22 - 2011-05-28,-37%
2011-05-29 - 2011-06-04,-42%
2011-06-05 - 2011-06-11,-41%
2011-06-12 - 2011-06-18,-40%
2011-06-19 - 2011-06-25,-42%
2011-06-26 - 2011-07-02,-43%
2011-07-03 - 2011-07-09,-46%
2011-07-10 - 2011-07-16,-47%
2011-07-17 - 2011-07-23,-48%
2011-07-24 - 2011-07-30,-51%
2011-07-31 - 2011-08-06,-48%
2011-08-07 - 2011-08-13,-50%
2011-08-14 - 2011-08-20,-48%
2011-08-21 - 2011-08-27,-49%
2011-08-28 - 2011-09-03,-51%
2011-09-04 - 2011-09-10,-46%
2011-09-11 - 2011-09-17,-43%
2011-09-18 - 2011-09-24,-38%
2011-09-25 - 2011-10-01,-39%
2011-10-02 - 2011-10-08,-39%
2011-10-09 - 2011-10-15,-41%
2011-10-16 - 2011-10-22,-41%
2011-10-23 - 2011-10-29,-46%
2011-10-30 - 2011-11-05,-42%
2011-11-06 - 2011-11-12,-43%
2011-11-13 - 2011-11-19,-43%
2011-11-20 - 2011-11-26,-41%
2011-11-27 - 2011-12-03,-45%
2011-12-04 - 2011-12-10,-45%
2011-12-11 - 2011-12-17,-49%
2011-12-18 - 2011-12-24,-57%
2011-12-25 - 2011-12-31,-58%
2012-01-01 - 2012-01-07,-47%
2012-01-08 - 2012-01-14,-48%
2012-01-15 - 2012-01-21,-47%
2012-01-22 - 2012-01-28,-47%
2012-01-29 - 2012-02-04,-48%
2012-02-05 - 2012-02-11,-49%
2012-02-12 - 2012-02-18,-49%
2012-02-19 - 2012-02-25,-47%
2012-02-26 - 2012-03-03,-47%
2012-03-04 - 2012-03-10,-46%
2012-03-11 - 2012-03-17,-40%
2012-03-18 - 2012-03-24,-41%
2012-03-25 - 2012-03-31,-37%
2012-04-01 - 2012-04-07,-41%
2012-04-08 - 2012-04-14,-43%
2012-04-15 - 2012-04-21,-41%
2012-04-22 - 2012-04-28,-41%
2012-04-29 - 2012-05-05,-41%
2012-05-06 - 2012-05-12,-37%
2012-05-13 - 2012-05-19,-38%
2012-05-20 - 2012-05-26,-36%
2012-05-27 - 2012-06-02,-36%
2012-06-03 - 2012-06-09,-37%
2012-06-10 - 2012-06-16,-40%
2012-06-17 - 2012-06-23,-39%
2012-06-24 - 2012-06-30,-40%
2012-07-01 - 2012-07-07,-42%
2012-07-08 - 2012-07-14,-43%
2012-07-15 - 2012-07-21,-43%
2012-07-22 - 2012-07-28,-41%
2012-07-29 - 2012-08-04,-49%
2012-08-05 - 2012-08-11,-46%
2012-08-12 - 2012-08-18,-42%
2012-08-19 - 2012-08-25,-40%
2012-08-26 - 2012-09-01,-46%
2012-09-02 - 2012-09-08,-43%
2012-09-09 - 2012-09-15,-39%
2012-09-16 - 2012-09-22,-37%
2012-09-23 - 2012-09-29,-37%
2012-09-30 - 2012-10-06,-37%
2012-10-07 - 2012-10-13,-37%
2012-10-14 - 2012-10-20,-39%
2012-10-21 - 2012-10-27,-39%
2012-10-28 - 2012-11-03,-49%
2012-11-04 - 2012-11-10,-45%
2012-11-11 - 2012-11-17,-41%
2012-11-18 - 2012-11-24,-38%
2012-11-25 - 2012-12-01, 



Top searches
dna,100
insecte,40
prefecture,35
adn,30
prefecture paris,30
camelia,25
biologie,25
piqure,25
insectes,25
araignée,25
prefecture de paris,25
fourmis,20
prefecture police paris,20
spiral,20
camelia jordana,20
prefecture de police,20
papillon,15
fourmi,15
cite des sciences,15
papillons,15



Rising searches
camelia jordana,Breakout
camelia,+700%
trefle,+200%
piqure,+190%
spiral,+170%
doigt,+110%
fougeres,+110%
araignée,+70%
insecte,+50%



