Web Search Interest
Italy; 2004 - present

Interest over time
Week,Ticket Sales
2009-11-01 - 2009-11-07,+0%
2009-11-08 - 2009-11-14,-5%
2009-11-15 - 2009-11-21,+0%
2009-11-22 - 2009-11-28,+10%
2009-11-29 - 2009-12-05,+10%
2009-12-06 - 2009-12-12,-10%
2009-12-13 - 2009-12-19,-10%
2009-12-20 - 2009-12-26,-20%
2009-12-27 - 2010-01-02,-20%
2010-01-03 - 2010-01-09,+5%
2010-01-10 - 2010-01-16,+5%
2010-01-17 - 2010-01-23,+5%
2010-01-24 - 2010-01-30,-5%
2010-01-31 - 2010-02-06,+15%
2010-02-07 - 2010-02-13,+5%
2010-02-14 - 2010-02-20,-5%
2010-02-21 - 2010-02-27,+0%
2010-02-28 - 2010-03-06,+5%
2010-03-07 - 2010-03-13,-10%
2010-03-14 - 2010-03-20,+5%
2010-03-21 - 2010-03-27,+20%
2010-03-28 - 2010-04-03,+10%
2010-04-04 - 2010-04-10,+55%
2010-04-11 - 2010-04-17,+60%
2010-04-18 - 2010-04-24,+60%
2010-04-25 - 2010-05-01,+255%
2010-05-02 - 2010-05-08,+75%
2010-05-09 - 2010-05-15,+35%
2010-05-16 - 2010-05-22,+0%
2010-05-23 - 2010-05-29,-15%
2010-05-30 - 2010-06-05,-15%
2010-06-06 - 2010-06-12,-10%
2010-06-13 - 2010-06-19,-30%
2010-06-20 - 2010-06-26,-25%
2010-06-27 - 2010-07-03,-15%
2010-07-04 - 2010-07-10,-10%
2010-07-11 - 2010-07-17,+0%
2010-07-18 - 2010-07-24,+5%
2010-07-25 - 2010-07-31,+10%
2010-08-01 - 2010-08-07,+15%
2010-08-08 - 2010-08-14,+15%
2010-08-15 - 2010-08-21,+20%
2010-08-22 - 2010-08-28,+15%
2010-08-29 - 2010-09-04,+15%
2010-09-05 - 2010-09-11,+20%
2010-09-12 - 2010-09-18,+10%
2010-09-19 - 2010-09-25,+25%
2010-09-26 - 2010-10-02,+25%
2010-10-03 - 2010-10-09,+10%
2010-10-10 - 2010-10-16,+5%
2010-10-17 - 2010-10-23,+5%
2010-10-24 - 2010-10-30,+0%
2010-10-31 - 2010-11-06,+0%
2010-11-07 - 2010-11-13,-10%
2010-11-14 - 2010-11-20,-20%
2010-11-21 - 2010-11-27,-15%
2010-11-28 - 2010-12-04,-10%
2010-12-05 - 2010-12-11,-15%
2010-12-12 - 2010-12-18,-10%
2010-12-19 - 2010-12-25,-15%
2010-12-26 - 2011-01-01,-5%
2011-01-02 - 2011-01-08,-5%
2011-01-09 - 2011-01-15,+0%
2011-01-16 - 2011-01-22,+5%
2011-01-23 - 2011-01-29,+0%
2011-01-30 - 2011-02-05,+0%
2011-02-06 - 2011-02-12,+20%
2011-02-13 - 2011-02-19,+40%
2011-02-20 - 2011-02-26,+20%
2011-02-27 - 2011-03-05,+5%
2011-03-06 - 2011-03-12,+5%
2011-03-13 - 2011-03-19,+0%
2011-03-20 - 2011-03-26,+15%
2011-03-27 - 2011-04-02,+25%
2011-04-03 - 2011-04-09,+35%
2011-04-10 - 2011-04-16,+25%
2011-04-17 - 2011-04-23,+35%
2011-04-24 - 2011-04-30,+90%
2011-05-01 - 2011-05-07,+195%
2011-05-08 - 2011-05-14,+25%
2011-05-15 - 2011-05-21,+20%
2011-05-22 - 2011-05-28,+15%
2011-05-29 - 2011-06-04,+0%
2011-06-05 - 2011-06-11,-10%
2011-06-12 - 2011-06-18,-10%
2011-06-19 - 2011-06-25,-5%
2011-06-26 - 2011-07-02,+5%
2011-07-03 - 2011-07-09,+0%
2011-07-10 - 2011-07-16,+5%
2011-07-17 - 2011-07-23,+0%
2011-07-24 - 2011-07-30,+0%
2011-07-31 - 2011-08-06,+5%
2011-08-07 - 2011-08-13,+15%
2011-08-14 - 2011-08-20,+25%
2011-08-21 - 2011-08-27,+15%
2011-08-28 - 2011-09-03,+15%
2011-09-04 - 2011-09-10,+40%
2011-09-11 - 2011-09-17,+30%
2011-09-18 - 2011-09-24,+20%
2011-09-25 - 2011-10-01,+30%
2011-10-02 - 2011-10-08,+20%
2011-10-09 - 2011-10-15,+25%
2011-10-16 - 2011-10-22,+10%
2011-10-23 - 2011-10-29,+30%
2011-10-30 - 2011-11-05,+10%
2011-11-06 - 2011-11-12,+15%
2011-11-13 - 2011-11-19,+25%
2011-11-20 - 2011-11-26,+35%
2011-11-27 - 2011-12-03,+25%
2011-12-04 - 2011-12-10,+25%
2011-12-11 - 2011-12-17,+65%
2011-12-18 - 2011-12-24,+0%
2011-12-25 - 2011-12-31,-10%
2012-01-01 - 2012-01-07,+10%
2012-01-08 - 2012-01-14,+15%
2012-01-15 - 2012-01-21,+15%
2012-01-22 - 2012-01-28,+15%
2012-01-29 - 2012-02-04,+5%
2012-02-05 - 2012-02-11,+20%
2012-02-12 - 2012-02-18,+25%
2012-02-19 - 2012-02-25,+25%
2012-02-26 - 2012-03-03,+30%
2012-03-04 - 2012-03-10,+40%
2012-03-11 - 2012-03-17,+45%
2012-03-18 - 2012-03-24,+95%
2012-03-25 - 2012-03-31,+55%
2012-04-01 - 2012-04-07,+50%
2012-04-08 - 2012-04-14,+65%
2012-04-15 - 2012-04-21,+65%
2012-04-22 - 2012-04-28,+105%
2012-04-29 - 2012-05-05,+290%
2012-05-06 - 2012-05-12,+70%
2012-05-13 - 2012-05-19,+15%
2012-05-20 - 2012-05-26,-5%
2012-05-27 - 2012-06-02,-5%
2012-06-03 - 2012-06-09,+5%
2012-06-10 - 2012-06-16,+45%
2012-06-17 - 2012-06-23,+10%
2012-06-24 - 2012-06-30,+0%
2012-07-01 - 2012-07-07,+5%
2012-07-08 - 2012-07-14,+15%
2012-07-15 - 2012-07-21,+10%
2012-07-22 - 2012-07-28,+10%
2012-07-29 - 2012-08-04,+5%
2012-08-05 - 2012-08-11,+10%
2012-08-12 - 2012-08-18,+30%
2012-08-19 - 2012-08-25,+30%
2012-08-26 - 2012-09-01,+15%
2012-09-02 - 2012-09-08,+20%
2012-09-09 - 2012-09-15,+20%
2012-09-16 - 2012-09-22,+15%
2012-09-23 - 2012-09-29,+20%
2012-09-30 - 2012-10-06,+25%
2012-10-07 - 2012-10-13,+25%
2012-10-14 - 2012-10-20,+10%
2012-10-21 - 2012-10-27,+15%
2012-10-28 - 2012-11-03,+60%
2012-11-04 - 2012-11-10,+60%
2012-11-11 - 2012-11-17,+35%
2012-11-18 - 2012-11-24,+15%
2012-11-25 - 2012-12-01, 



Top searches
biglietti,100
ticketone,15
biglietti roma,10
primo maggio,10
juventus biglietti,10
biglietti napoli,10
vendita biglietti,10
biglietti milan,5
biglietti inter,5
ticket,5
ingresso,5
arena,5
arena verona,5
primo maggio concerto,5
1 maggio,5
ticket one,5
biglietti juve,5
biglietti stadio,5
concerto 1 maggio,5
biglietti vasco,5



Rising searches
biglietti napoli,+500%
ticketone,+300%
juventus biglietti,+200%
biglietti inter,+120%
biglietti,+80%
ingresso,+60%
biglietti roma,+50%
ticket,+40%



