Web Search Interest
Portugal; 2004 - present

Interest over time
Week,Off-Road Vehicles
2005-08-28 - 2005-09-03,-33%
2005-09-04 - 2005-09-10,-42%
2005-09-11 - 2005-09-17,-33%
2005-09-18 - 2005-09-24,-25%
2005-09-25 - 2005-10-01,-42%
2005-10-02 - 2005-10-08,-42%
2005-10-09 - 2005-10-15,-33%
2005-10-16 - 2005-10-22,-42%
2005-10-23 - 2005-10-29,-42%
2005-10-30 - 2005-11-05,-25%
2005-11-06 - 2005-11-12,-25%
2005-11-13 - 2005-11-19,+8%
2005-11-20 - 2005-11-26,-8%
2005-11-27 - 2005-12-03,-8%
2005-12-04 - 2005-12-10,+0%
2005-12-11 - 2005-12-17,+42%
2005-12-18 - 2005-12-24,+100%
2005-12-25 - 2005-12-31,+733%
2006-01-01 - 2006-01-07,+467%
2006-01-08 - 2006-01-14,+200%
2006-01-15 - 2006-01-21,+8%
2006-01-22 - 2006-01-28,-33%
2006-01-29 - 2006-02-04,-42%
2006-02-05 - 2006-02-11,-42%
2006-02-12 - 2006-02-18,-42%
2006-02-19 - 2006-02-25,-50%
2006-02-26 - 2006-03-04,-33%
2006-03-05 - 2006-03-11,-42%
2006-03-12 - 2006-03-18,-50%
2006-03-19 - 2006-03-25,-42%
2006-03-26 - 2006-04-01,-50%
2006-04-02 - 2006-04-08,-42%
2006-04-09 - 2006-04-15,-33%
2006-04-16 - 2006-04-22,-42%
2006-04-23 - 2006-04-29,-42%
2006-04-30 - 2006-05-06,-50%
2006-05-07 - 2006-05-13,-42%
2006-05-14 - 2006-05-20,-42%
2006-05-21 - 2006-05-27,-50%
2006-05-28 - 2006-06-03,-50%
2006-06-04 - 2006-06-10,-50%
2006-06-11 - 2006-06-17,-58%
2006-06-18 - 2006-06-24,-50%
2006-06-25 - 2006-07-01,-50%
2006-07-02 - 2006-07-08,-50%
2006-07-09 - 2006-07-15,-42%
2006-07-16 - 2006-07-22,-50%
2006-07-23 - 2006-07-29,-42%
2006-07-30 - 2006-08-05,-67%
2006-08-06 - 2006-08-12,-50%
2006-08-13 - 2006-08-19,-50%
2006-08-20 - 2006-08-26,-42%
2006-08-27 - 2006-09-02,-33%
2006-09-03 - 2006-09-09,-42%
2006-09-10 - 2006-09-16,-50%
2006-09-17 - 2006-09-23,-42%
2006-09-24 - 2006-09-30,-50%
2006-10-01 - 2006-10-07,-58%
2006-10-08 - 2006-10-14,-50%
2006-10-15 - 2006-10-21,-58%
2006-10-22 - 2006-10-28,-50%
2006-10-29 - 2006-11-04,-50%
2006-11-05 - 2006-11-11,-50%
2006-11-12 - 2006-11-18,-33%
2006-11-19 - 2006-11-25,-33%
2006-11-26 - 2006-12-02,-42%
2006-12-03 - 2006-12-09,-50%
2006-12-10 - 2006-12-16,-17%
2006-12-17 - 2006-12-23,-8%
2006-12-24 - 2006-12-30,+58%
2006-12-31 - 2007-01-06,+417%
2007-01-07 - 2007-01-13,+458%
2007-01-14 - 2007-01-20,+183%
2007-01-21 - 2007-01-27,+0%
2007-01-28 - 2007-02-03,-42%
2007-02-04 - 2007-02-10,-42%
2007-02-11 - 2007-02-17,-42%
2007-02-18 - 2007-02-24,-50%
2007-02-25 - 2007-03-03,-50%
2007-03-04 - 2007-03-10,-42%
2007-03-11 - 2007-03-17,-58%
2007-03-18 - 2007-03-24,-58%
2007-03-25 - 2007-03-31,-58%
2007-04-01 - 2007-04-07,-42%
2007-04-08 - 2007-04-14,-50%
2007-04-15 - 2007-04-21,-58%
2007-04-22 - 2007-04-28,-58%
2007-04-29 - 2007-05-05,-58%
2007-05-06 - 2007-05-12,-42%
2007-05-13 - 2007-05-19,-50%
2007-05-20 - 2007-05-26,-58%
2007-05-27 - 2007-06-02,-58%
2007-06-03 - 2007-06-09,-50%
2007-06-10 - 2007-06-16,-58%
2007-06-17 - 2007-06-23,-50%
2007-06-24 - 2007-06-30,-50%
2007-07-01 - 2007-07-07,-50%
2007-07-08 - 2007-07-14,-50%
2007-07-15 - 2007-07-21,-50%
2007-07-22 - 2007-07-28,-42%
2007-07-29 - 2007-08-04,-42%
2007-08-05 - 2007-08-11,-42%
2007-08-12 - 2007-08-18,-50%
2007-08-19 - 2007-08-25,-50%
2007-08-26 - 2007-09-01,-50%
2007-09-02 - 2007-09-08,-50%
2007-09-09 - 2007-09-15,-50%
2007-09-16 - 2007-09-22,-50%
2007-09-23 - 2007-09-29,-50%
2007-09-30 - 2007-10-06,-58%
2007-10-07 - 2007-10-13,-50%
2007-10-14 - 2007-10-20,-50%
2007-10-21 - 2007-10-27,-50%
2007-10-28 - 2007-11-03,-50%
2007-11-04 - 2007-11-10,-50%
2007-11-11 - 2007-11-17,-50%
2007-11-18 - 2007-11-24,-42%
2007-11-25 - 2007-12-01,-33%
2007-12-02 - 2007-12-08,-17%
2007-12-09 - 2007-12-15,-33%
2007-12-16 - 2007-12-22,-25%
2007-12-23 - 2007-12-29,+17%
2007-12-30 - 2008-01-05,+267%
2008-01-06 - 2008-01-12,-33%
2008-01-13 - 2008-01-19,-42%
2008-01-20 - 2008-01-26,-42%
2008-01-27 - 2008-02-02,-50%
2008-02-03 - 2008-02-09,-50%
2008-02-10 - 2008-02-16,-50%
2008-02-17 - 2008-02-23,-50%
2008-02-24 - 2008-03-01,-50%
2008-03-02 - 2008-03-08,-42%
2008-03-09 - 2008-03-15,-58%
2008-03-16 - 2008-03-22,-50%
2008-03-23 - 2008-03-29,-50%
2008-03-30 - 2008-04-05,-50%
2008-04-06 - 2008-04-12,-58%
2008-04-13 - 2008-04-19,-58%
2008-04-20 - 2008-04-26,-42%
2008-04-27 - 2008-05-03,-50%
2008-05-04 - 2008-05-10,-50%
2008-05-11 - 2008-05-17,-58%
2008-05-18 - 2008-05-24,-58%
2008-05-25 - 2008-05-31,-58%
2008-06-01 - 2008-06-07,-58%
2008-06-08 - 2008-06-14,-67%
2008-06-15 - 2008-06-21,-67%
2008-06-22 - 2008-06-28,-50%
2008-06-29 - 2008-07-05,-58%
2008-07-06 - 2008-07-12,-58%
2008-07-13 - 2008-07-19,-67%
2008-07-20 - 2008-07-26,-58%
2008-07-27 - 2008-08-02,-58%
2008-08-03 - 2008-08-09,-50%
2008-08-10 - 2008-08-16,-50%
2008-08-17 - 2008-08-23,-58%
2008-08-24 - 2008-08-30,-58%
2008-08-31 - 2008-09-06,-50%
2008-09-07 - 2008-09-13,-8%
2008-09-14 - 2008-09-20,-50%
2008-09-21 - 2008-09-27,-58%
2008-09-28 - 2008-10-04,-58%
2008-10-05 - 2008-10-11,-58%
2008-10-12 - 2008-10-18,-58%
2008-10-19 - 2008-10-25,-58%
2008-10-26 - 2008-11-01,-50%
2008-11-02 - 2008-11-08,-58%
2008-11-09 - 2008-11-15,-67%
2008-11-16 - 2008-11-22,-58%
2008-11-23 - 2008-11-29,-58%
2008-11-30 - 2008-12-06,-50%
2008-12-07 - 2008-12-13,-58%
2008-12-14 - 2008-12-20,-58%
2008-12-21 - 2008-12-27,-58%
2008-12-28 - 2009-01-03,-50%
2009-01-04 - 2009-01-10,-25%
2009-01-11 - 2009-01-17,-42%
2009-01-18 - 2009-01-24,-50%
2009-01-25 - 2009-01-31,-58%
2009-02-01 - 2009-02-07,-58%
2009-02-08 - 2009-02-14,-58%
2009-02-15 - 2009-02-21,-58%
2009-02-22 - 2009-02-28,-58%
2009-03-01 - 2009-03-07,-50%
2009-03-08 - 2009-03-14,-58%
2009-03-15 - 2009-03-21,-58%
2009-03-22 - 2009-03-28,-50%
2009-03-29 - 2009-04-04,-50%
2009-04-05 - 2009-04-11,-50%
2009-04-12 - 2009-04-18,-58%
2009-04-19 - 2009-04-25,-58%
2009-04-26 - 2009-05-02,-58%
2009-05-03 - 2009-05-09,-58%
2009-05-10 - 2009-05-16,-58%
2009-05-17 - 2009-05-23,-58%
2009-05-24 - 2009-05-30,-67%
2009-05-31 - 2009-06-06,-58%
2009-06-07 - 2009-06-13,-67%
2009-06-14 - 2009-06-20,-58%
2009-06-21 - 2009-06-27,-58%
2009-06-28 - 2009-07-04,-58%
2009-07-05 - 2009-07-11,-58%
2009-07-12 - 2009-07-18,-58%
2009-07-19 - 2009-07-25,-58%
2009-07-26 - 2009-08-01,-58%
2009-08-02 - 2009-08-08,-50%
2009-08-09 - 2009-08-15,-58%
2009-08-16 - 2009-08-22,-58%
2009-08-23 - 2009-08-29,-58%
2009-08-30 - 2009-09-05,-58%
2009-09-06 - 2009-09-12,-58%
2009-09-13 - 2009-09-19,-58%
2009-09-20 - 2009-09-26,-58%
2009-09-27 - 2009-10-03,-67%
2009-10-04 - 2009-10-10,-67%
2009-10-11 - 2009-10-17,-58%
2009-10-18 - 2009-10-24,-67%
2009-10-25 - 2009-10-31,-67%
2009-11-01 - 2009-11-07,-67%
2009-11-08 - 2009-11-14,-58%
2009-11-15 - 2009-11-21,-67%
2009-11-22 - 2009-11-28,-58%
2009-11-29 - 2009-12-05,-67%
2009-12-06 - 2009-12-12,-67%
2009-12-13 - 2009-12-19,-67%
2009-12-20 - 2009-12-26,-58%
2009-12-27 - 2010-01-02,-50%
2010-01-03 - 2010-01-09,-25%
2010-01-10 - 2010-01-16,-42%
2010-01-17 - 2010-01-23,-58%
2010-01-24 - 2010-01-30,-67%
2010-01-31 - 2010-02-06,-67%
2010-02-07 - 2010-02-13,-58%
2010-02-14 - 2010-02-20,-58%
2010-02-21 - 2010-02-27,-67%
2010-02-28 - 2010-03-06,-67%
2010-03-07 - 2010-03-13,-67%
2010-03-14 - 2010-03-20,-58%
2010-03-21 - 2010-03-27,-67%
2010-03-28 - 2010-04-03,-67%
2010-04-04 - 2010-04-10,-67%
2010-04-11 - 2010-04-17,-67%
2010-04-18 - 2010-04-24,-58%
2010-04-25 - 2010-05-01,-67%
2010-05-02 - 2010-05-08,-67%
2010-05-09 - 2010-05-15,-67%
2010-05-16 - 2010-05-22,-67%
2010-05-23 - 2010-05-29,-67%
2010-05-30 - 2010-06-05,-67%
2010-06-06 - 2010-06-12,-67%
2010-06-13 - 2010-06-19,-67%
2010-06-20 - 2010-06-26,-67%
2010-06-27 - 2010-07-03,-67%
2010-07-04 - 2010-07-10,-67%
2010-07-11 - 2010-07-17,-67%
2010-07-18 - 2010-07-24,-67%
2010-07-25 - 2010-07-31,-58%
2010-08-01 - 2010-08-07,-67%
2010-08-08 - 2010-08-14,-67%
2010-08-15 - 2010-08-21,-58%
2010-08-22 - 2010-08-28,-58%
2010-08-29 - 2010-09-04,-67%
2010-09-05 - 2010-09-11,-67%
2010-09-12 - 2010-09-18,-67%
2010-09-19 - 2010-09-25,-67%
2010-09-26 - 2010-10-02,-67%
2010-10-03 - 2010-10-09,-67%
2010-10-10 - 2010-10-16,-75%
2010-10-17 - 2010-10-23,-75%
2010-10-24 - 2010-10-30,-67%
2010-10-31 - 2010-11-06,-75%
2010-11-07 - 2010-11-13,-67%
2010-11-14 - 2010-11-20,-67%
2010-11-21 - 2010-11-27,-75%
2010-11-28 - 2010-12-04,-67%
2010-12-05 - 2010-12-11,-67%
2010-12-12 - 2010-12-18,-67%
2010-12-19 - 2010-12-25,-67%
2010-12-26 - 2011-01-01,-58%
2011-01-02 - 2011-01-08,-25%
2011-01-09 - 2011-01-15,-42%
2011-01-16 - 2011-01-22,-67%
2011-01-23 - 2011-01-29,-67%
2011-01-30 - 2011-02-05,-67%
2011-02-06 - 2011-02-12,-67%
2011-02-13 - 2011-02-19,-67%
2011-02-20 - 2011-02-26,-67%
2011-02-27 - 2011-03-05,-67%
2011-03-06 - 2011-03-12,-67%
2011-03-13 - 2011-03-19,-67%
2011-03-20 - 2011-03-26,-67%
2011-03-27 - 2011-04-02,-67%
2011-04-03 - 2011-04-09,-67%
2011-04-10 - 2011-04-16,-67%
2011-04-17 - 2011-04-23,-67%
2011-04-24 - 2011-04-30,-67%
2011-05-01 - 2011-05-07,-67%
2011-05-08 - 2011-05-14,-67%
2011-05-15 - 2011-05-21,-67%
2011-05-22 - 2011-05-28,-67%
2011-05-29 - 2011-06-04,-67%
2011-06-05 - 2011-06-11,-67%
2011-06-12 - 2011-06-18,-67%
2011-06-19 - 2011-06-25,-75%
2011-06-26 - 2011-07-02,-75%
2011-07-03 - 2011-07-09,-67%
2011-07-10 - 2011-07-16,-75%
2011-07-17 - 2011-07-23,-67%
2011-07-24 - 2011-07-30,-67%
2011-07-31 - 2011-08-06,-67%
2011-08-07 - 2011-08-13,-67%
2011-08-14 - 2011-08-20,-67%
2011-08-21 - 2011-08-27,-67%
2011-08-28 - 2011-09-03,-67%
2011-09-04 - 2011-09-10,-67%
2011-09-11 - 2011-09-17,-67%
2011-09-18 - 2011-09-24,-67%
2011-09-25 - 2011-10-01,-67%
2011-10-02 - 2011-10-08,-67%
2011-10-09 - 2011-10-15,-67%
2011-10-16 - 2011-10-22,-67%
2011-10-23 - 2011-10-29,-75%
2011-10-30 - 2011-11-05,-67%
2011-11-06 - 2011-11-12,-67%
2011-11-13 - 2011-11-19,-67%
2011-11-20 - 2011-11-26,-67%
2011-11-27 - 2011-12-03,-75%
2011-12-04 - 2011-12-10,-75%
2011-12-11 - 2011-12-17,-75%
2011-12-18 - 2011-12-24,-75%
2011-12-25 - 2011-12-31,-67%
2012-01-01 - 2012-01-07,-25%
2012-01-08 - 2012-01-14,-33%
2012-01-15 - 2012-01-21,-58%
2012-01-22 - 2012-01-28,-67%
2012-01-29 - 2012-02-04,-67%
2012-02-05 - 2012-02-11,-67%
2012-02-12 - 2012-02-18,-67%
2012-02-19 - 2012-02-25,-67%
2012-02-26 - 2012-03-03,-67%
2012-03-04 - 2012-03-10,-67%
2012-03-11 - 2012-03-17,-67%
2012-03-18 - 2012-03-24,-67%
2012-03-25 - 2012-03-31,-67%
2012-04-01 - 2012-04-07,-67%
2012-04-08 - 2012-04-14,-67%
2012-04-15 - 2012-04-21,-75%
2012-04-22 - 2012-04-28,-75%
2012-04-29 - 2012-05-05,-67%
2012-05-06 - 2012-05-12,-75%
2012-05-13 - 2012-05-19,-75%
2012-05-20 - 2012-05-26,-75%
2012-05-27 - 2012-06-02,-75%
2012-06-03 - 2012-06-09,-75%
2012-06-10 - 2012-06-16,-75%
2012-06-17 - 2012-06-23,-75%
2012-06-24 - 2012-06-30,-75%
2012-07-01 - 2012-07-07,-75%
2012-07-08 - 2012-07-14,-67%
2012-07-15 - 2012-07-21,-75%
2012-07-22 - 2012-07-28,-75%
2012-07-29 - 2012-08-04,-67%
2012-08-05 - 2012-08-11,-67%
2012-08-12 - 2012-08-18,-67%
2012-08-19 - 2012-08-25,-75%
2012-08-26 - 2012-09-01,-75%
2012-09-02 - 2012-09-08,-67%
2012-09-09 - 2012-09-15,-67%
2012-09-16 - 2012-09-22,-67%
2012-09-23 - 2012-09-29,-67%
2012-09-30 - 2012-10-06,-75%
2012-10-07 - 2012-10-13,-75%
2012-10-14 - 2012-10-20,-75%
2012-10-21 - 2012-10-27,-75%
2012-10-28 - 2012-11-03,-75%
2012-11-04 - 2012-11-10,-67%
2012-11-11 - 2012-11-17,-67%
2012-11-18 - 2012-11-24, 
2012-11-25 - 2012-12-01, 



Top searches
dakar,100
dakar lisboa,45
quad,40
dgv,40
karting,35
polaris,35
atv,30
kart,25
dunas,25
direcção geral viação,20
4x4,20
jipe,15
off road,15
offroad,15
ktm,15
quadmania,15
ltr,15
sl,15
mini moto,10
kawasaki,10



Rising searches
4x4,Breakout
dakar lisboa,Breakout
dunas,Breakout
jipe,Breakout
quad,+400%
dakar,+350%
dgv,+350%
atv,+200%
polaris,+200%
direcção geral viação,+50%



